"","Species","SHOOT","Grow.con","Block","Year","Date","Row","Plant.number","Tag","DONOR","TREATMENT","SPEC.COM","FS","TVN","Pick.date","Size","Fresh.wgt","Ripe.time","Visitor1","Visitor2","Visitor3","Visitor4","Visitor5","Visitor6","Visitor7","Visitor8","Visitor9","Visitor10","Visitor11","Visitor12","Visitor13","Visitor14","Visitor15","POLL","seed.number","Firmness","Dryness","stingless_bee","honey_bee","bumble_bee","sumvisits","p_stingless_bee","p_honey_bee","p_bumble_bee","RP","duration","V1D","cent_v1","cent_d","cent_sd","log.wgt","scale.visit","rem_d"
"1","EG","F","Ground","GR12",2017,"6/4/17",14,30,"GR-M-8","V","V","HB",1,1,"10/8/17",NA,0.26,126,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1430",6,6,-0.5793837646756,-0.68901742339109,-0.596367639308072,-1.34707364796661,-0.829994597674127,0
"2","EG","F","Ground","GR12",2017,"6/4/17",14,47,"GR-V-19","V","V","HB",1,1,"10/8/17",NA,0.42,126,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1447",12,12,-0.415574885220752,-0.64506599154479,-0.596367639308072,-0.867500567704723,-0.829994597674127,0
"3","EG","F","Ground","S1S",2017,"15/5/17",5,8,"S1S-R-3","V","V","HB",1,1,"7/9/17",NA,0.49,115,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"58",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,-0.713349887877465,-0.829994597674127,0
"4","EG","F","Ground","SFI",2017,"5/5/17",7,30,"SF-A-8","V","V","HB",1,1,"4/8/17",11.3434,0.589,91,"H","","","","","","","","","","","","","","",1,NA,320.9877999,"",0,1,0,1,0,1,0,"730",19,19,-0.224464525856762,-0.593789321057441,-0.596367639308072,-0.52932909533055,-0.829994597674127,0
"5","EG","F","Ground","GR12",2017,"4/4/17",14,6,"GR-M-2","V","V","HB",1,1,"7/9/17",NA,0.589,156,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"146",28,28,0.021248793325511,-0.527862173287992,-0.596367639308072,-0.52932909533055,-0.829994597674127,0
"6","EG","F","Ground","GR12",2017,"7/4/17",14,24,"GR-V-20","V","V","HB",1,1,"25/7/17",11.4488,0.642,109,"H","","","","","","","","","","","","","","",1,NA,191.4425191,"",0,1,0,1,0,1,0,"1424",3,3,-0.661288204403025,-0.710993139314239,-0.596367639308072,-0.443166975292176,-0.829994597674127,0
"7","EG","F","Ground","S1S",2017,"16/5/17",5,9,"S1S-R-8","V","V","HB",1,1,"10/8/17",11.1685,0.66,86,"H","","","","","","","","","","","","","","",1,NA,271.5818273,"",0,1,0,1,0,1,0,"59",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,-0.415515443961666,-0.829994597674127,0
"8","EG","F","Ground","SFI",2017,"8/5/17",8,28,"SF-A-16","V","V","HB",1,1,"10/8/17",13.0327,0.93,94,"H","","","","","","","","","","","","","","",1,NA,227.7883208,"",0,1,0,1,0,1,0,"828",16,16,-0.306368965584186,-0.615765036980591,-0.596367639308072,-0.0725706928348354,-0.829994597674127,0
"9","EG","F","Ground","S1S",2017,"12/5/17",5,13,"S1S-J-82","V","V","HB",1,1,"10/8/17",13.6793,1.15,90,"H","","","","","","","","","","","","","","",1,NA,243.0655232,"",0,1,0,1,0,1,0,"513",15,15,-0.333670445493328,-0.623090275621641,-0.596367639308072,0.139761942375159,-0.829994597674127,0
"10","EG","F","Ground","S1S",2017,"11/5/17",5,5,"S1S-A-7","V","V","HB",1,1,"3/8/17",13.7517,1.17,84,"H","","","","","","","","","","","","","","",1,NA,283.2309891,"",0,1,0,1,0,1,0,"55",11,11,-0.442876365129893,-0.65239123018584,-0.596367639308072,0.157003748809665,-0.829994597674127,0
"11","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-23","V","V","HB",1,1,"20/7/17",14.0584,1.26,77,"H","","","","","","","","","","","","","","",1,NA,280.3181808,"",0,1,0,1,0,1,0,"816",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,0.231111720963387,-0.829994597674127,0
"12","EG","F","Ground","S1S",2017,"11/5/17",4,15,"S1S-L-2","V","V","HB",1,1,"25/7/17",15.5527,1.547,75,"H","","","","","","","","","","","","","","",1,NA,250.6846373,"",0,1,0,1,0,1,0,"415",45,45,0.485373951780915,-0.403333116390144,-0.596367639308072,0.436317571590929,-0.829994597674127,0
"13","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-5","V","V","HB",1,1,"4/7/17",12.1286,0.842507027,91,"H","","","","","","","","","","","","","","",1,NA,217.5579076,"",0,1,0,1,0,1,0,"1417",16,16,-0.306368965584186,-0.615765036980591,-0.596367639308072,-0.171373276137584,-0.829994597674127,0
"14","EG","F","Ground","GR12",2017,"5/4/17",14,9,"GR-L-6","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"149",18,18,-0.251766005765903,-0.601114559698491,-0.596367639308072,NA,-0.829994597674127,0
"15","EG","F","Ground","GR12",2017,"7/4/17",14,11,"GR-M-10","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1411",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,NA,-0.829994597674127,0
"16","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-12","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1414",5,5,-0.606685244584742,-0.69634266203214,-0.596367639308072,NA,-0.829994597674127,0
"17","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-13","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1414",22,22,-0.142560086129338,-0.571813605134292,-0.596367639308072,NA,-0.829994597674127,0
"18","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-27","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1431",6,6,-0.5793837646756,-0.68901742339109,-0.596367639308072,NA,-0.829994597674127,0
"19","EG","F","Ground","GR12",2017,"7/4/17",14,36,"GR-L-7","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1436",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,NA,-0.829994597674127,0
"20","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-1","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1449",4,4,-0.633986724493883,-0.70366790067319,-0.596367639308072,NA,-0.829994597674127,0
"21","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-2","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1449",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
"22","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-3","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1449",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,NA,-0.829994597674127,0
"23","EG","F","Ground","S1S",2017,"11/5/17",4,16,"S1S-J-73","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"416",1,1,-0.715891164221307,-0.725643616596339,-0.596367639308072,NA,-0.829994597674127,0
"24","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-27","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"620",38,38,0.294263592416925,-0.454609786877493,-0.596367639308072,NA,-0.829994597674127,0
"25","EG","F","Ground","SFI",2017,"3/5/17",8,30,"SF-J-11","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"830",5,5,-0.606685244584742,-0.69634266203214,-0.596367639308072,NA,-0.829994597674127,0
"26","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-14","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1431",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
"27","EG","F","Ground","S1S",2017,"11/5/17",4,15,"S1S-L-3","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"415",1,1,-0.715891164221307,-0.725643616596339,-0.596367639308072,NA,-0.829994597674127,0
"28","EG","F","Ground","S1S",2017,"12/5/17",5,8,"S1S-LK-15","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"58",17,17,-0.279067485675045,-0.608439798339541,-0.596367639308072,NA,-0.829994597674127,0
"29","EG","F","Ground","S1S",2017,"15/5/17",5,26,"S1S-L-10","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"526",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
"30","EG","F","Ground","S1S",2017,"16/5/17",6,4,"S1S-L-20","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"64",13,13,-0.38827340531161,-0.637740752903741,-0.596367639308072,NA,-0.829994597674127,0
"31","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-J-53","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"618",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
"32","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-24","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"816",3,3,-0.661288204403025,-0.710993139314239,-0.596367639308072,NA,-0.829994597674127,0
"33","EG","F","Ground","SFI",2017,"3/5/17",8,30,"SF-J-10","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"830",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
"34","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-25","V","V","HB",1,1,"20/9/17",NA,0.23,135,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"620",26,26,-0.0333541664927719,-0.542512650570092,-0.596367639308072,-1.46967597005894,-0.829994597674127,0
"35","EG","F","Ground","S1S",2017,"16/5/18",4,24,"Juan-8","V","V","HB",1,1,"6/8/18",NA,1.55,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"424",75,75,1.30441834905516,-0.183575957158647,-0.596367639308072,0.438254930931155,-0.829994597674127,0
"36","EG","F","Ground","S1S",2017,"14/5/18",2,35,"Juan-1","V","V","HB",1,1,"31/8/18",NA,0.38,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"235",13,13,-0.38827340531161,-0.637740752903741,-0.596367639308072,-0.967584026261706,-0.829994597674127,0
"37","EG","F","Ground","S1S",2017,"16/5/18",4,19,"R4 P19 16/5/18 (V6)","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"419",1,1,-0.715891164221307,-0.725643616596339,-0.596367639308072,NA,-0.829994597674127,0
"38","EG","F","Ground","S1S",2017,"11/5/18",6,39,"R6 P39 11/5/18 (V1)","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"639",14,14,-0.360971925402469,-0.630415514262691,-0.596367639308072,NA,-0.829994597674127,0
"39","EG","F","Ground","S1S",2017,"11/5/18",6,39,"R6 P39 11/5/18 (V3)","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"639",1,1,-0.715891164221307,-0.725643616596339,-0.596367639308072,NA,-0.829994597674127,0
"45","EG","F","Ground","SFI",2017,"4/5/17",8,19,"SF-A-6","V","V","HB",1,2,"10/8/17",NA,0.47,98,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"819",23,22,-0.142560086129338,-0.564488366493242,-0.588283883583435,-0.755022584278033,-0.541183469377764,1
"46","EG","F","Ground","S1S",2017,"11/5/17",4,16,"S1S-J-72","V","V","HB",1,2,"10/8/17",10.4529,0.61,91,"H","H","","","","","","","","","","","","","",1,NA,278.2389284,"",0,2,0,2,0,1,0,"416",5,3,-0.661288204403025,-0.69634266203214,-0.580200127858799,-0.49429632181478,-0.541183469377764,2
"47","EG","F","Ground","S1S",2017,"11/5/17",5,4,"S1S-J-76","V","V","HB",1,2,"25/7/17",12.9683,1.047,75,"H","H","","","","","","","","","","","","","",1,NA,242.8264012,"",0,2,0,2,0,1,0,"54",12,10,-0.470177845039035,-0.64506599154479,-0.580200127858799,0.0459289318883997,-0.541183469377764,2
"48","EG","F","Ground","S1S",2017,"11/5/17",5,13,"S1S-A-4","V","V","HB",1,2,"20/7/17",13.2577,1.2,70,"H","H","","","","","","","","","","","","","",1,NA,207.1943178,"",0,2,0,2,0,1,0,"513",89,67,1.08600650978203,-0.081022616183949,-0.418525013366074,0.182321556793955,-0.541183469377764,22
"49","EG","F","Ground","SFI",2017,"8/5/17",6,31,"SF-J-47","V","V","HB",1,2,"20/7/17",13.6531,1.2,73,"H","H","","","","","","","","","","","","","",1,NA,278.5397864,"",0,2,0,2,0,1,0,"631",65,15,-0.333670445493328,-0.256828343569146,-0.192179853076258,0.182321556793955,-0.541183469377764,50
"50","EG","F","Ground","GR12",2017,"4/4/17",14,12,"GR-V-1-3","V","V","HB",1,2,"7/7/17",11.0674,0.601473133,94,"H","H","","","","","","","","","","","","","",1,NA,174.7179024,"",0,2,0,2,0,1,0,"1412",13,2,-0.688589684312166,-0.637740752903741,-0.507446326337073,-0.508373411231655,-0.541183469377764,11
"51","EG","F","Ground","GR12",2017,"5/4/17",14,23,"GR-V-11","V","V","HB",1,2,"4/7/17",13.2784,1.103664935,90,"H","H","","","","","","","","","","","","","",1,NA,236.7004699,"",0,2,0,2,0,1,0,"1423",45,40,0.348866552235208,-0.403333116390144,-0.55594886068489,0.0986364008833857,-0.541183469377764,5
"52","EG","F","Ground","GR12",2017,"5/4/17",14,23,"GR-V-13","V","V","HB",1,2,"21/6/17",14.8328,1.456720989,77,"H","H","","","","","","","","","","","","","",1,NA,206.9598163,"",0,2,0,2,0,1,0,"1423",61,1,-0.715891164221307,-0.286129298133346,-0.111342295829896,0.376188011963731,-0.541183469377764,60
"53","EG","F","Ground","SFI",2017,"8/5/17",8,23,"SF-J-42","V","V","HB",1,2,"20/7/17",NA,NA,73,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"823",80,50,0.621881351326622,-0.146949763953398,-0.353854967568984,NA,-0.541183469377764,30
"54","EG","F","Ground","SFI",2017,"8/5/17",8,23,"SF-J-43","V","V","HB",1,2,"20/7/17",NA,NA,73,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"823",55,35,0.212359152689501,-0.330080729979645,-0.434692524815346,NA,-0.541183469377764,20
"55","EG","F","Ground","SFI",2017,"8/5/17",8,28,"SF-A-14","V","V","HB",1,2,"20/7/17",NA,NA,73,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"828",40,35,0.212359152689501,-0.439959309595394,-0.55594886068489,NA,-0.541183469377764,5
"56","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-17","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"1431",15,10,-0.470177845039035,-0.623090275621641,-0.55594886068489,NA,-0.541183469377764,5
"57","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-26","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"1431",10,7,-0.552082284766459,-0.65971646882689,-0.572116372134163,NA,-0.541183469377764,3
"58","EG","F","Ground","GR12",2017,"5/4/17",14,35,"GR-M-7","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"1435",9,6,-0.5793837646756,-0.66704170746794,-0.572116372134163,NA,-0.541183469377764,3
"59","EG","F","Ground","S1S",2017,"11/5/17",5,4,"S1S-J-77","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"54",25,15,-0.333670445493328,-0.549837889211142,-0.515530082061709,NA,-0.541183469377764,10
"60","EG","F","Ground","S1S",2017,"11/5/17",5,5,"S1S-A-8","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"55",3,2,-0.688589684312166,-0.710993139314239,-0.588283883583435,NA,-0.541183469377764,1
"61","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-22","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"618",32,1,-0.715891164221307,-0.498561218723793,-0.345771211844347,NA,-0.541183469377764,31
"62","EG","F","Ground","SFI",2017,"8/5/17",8,23,"SF-J-44","V","V","HB",0,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"823",26,1,-0.715891164221307,-0.542512650570092,-0.394273746192165,NA,-0.541183469377764,25
"63","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-4","V","V","HB",1,2,NA,NA,NA,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"1417",26,20,-0.19716304594762,-0.542512650570092,-0.547865104960254,NA,-0.541183469377764,6
"64","EG","F","Ground","GR12",2017,"8/4/17",14,53,"GR-W-4","V","V","HB",1,2,"14/9/17",NA,0.231,159,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"1453",9,5,-0.606685244584742,-0.66704170746794,-0.564032616409527,-1.46533756846034,-0.541183469377764,4
"65","EG","F","Ground","S1S",2017,"11/5/18",6,39,"R6 P39 11/5/18 (V2)","V","V","HB",1,2,"25/7/18",NA,1.47,NA,"H","H","","","","","","","","","","","","","",1,NA,NA,"",0,2,0,2,0,1,0,"639",96,34,0.18505767278036,-0.0297459456965997,-0.0951747843806232,0.385262400790645,-0.541183469377764,62
"67","EG","F","Ground","GR12",2017,"4/4/17",14,12,"GR-V-1-2","V","V","HB",1,3,"10/8/17",NA,0.39,128,"H","H","H","","","","","","","","","","","","",1,NA,NA,"",0,3,0,3,0,1,0,"1412",14,6,-0.5793837646756,-0.630415514262691,-0.531697593510982,-0.941608539858445,-0.252372341081401,8
"68","EG","F","Ground","GR12",2017,"5/4/17",14,35,"GR-M-6","V","V","HB",1,3,"20/7/17",NA,0.43,106,"H","H","H","","","","","","","","","","","","",1,NA,NA,"",0,3,0,3,0,1,0,"1435",35,5,-0.606685244584742,-0.476585502800643,-0.353854967568984,-0.843970070294529,-0.252372341081401,30
"69","EG","F","Ground","GR12",2017,"5/4/17",14,22,"GR-V-10","V","V","HB",1,3,"7/9/17",NA,0.449,155,"H","H","H","","","","","","","","","","","","",1,NA,NA,"",0,3,0,3,0,1,0,"1422",63,34,0.18505767278036,-0.271478820851246,-0.36193872329362,-0.800732391239883,-0.252372341081401,29
"70","EG","F","Ground","SFI",2017,"8/5/17",5,24,"SF-J-50","V","V","HB",1,3,"4/8/17",NA,0.465,88,"H","H","H","","","","","","","","","","","","",1,NA,NA,"",0,3,0,3,0,1,0,"524",27,10,-0.470177845039035,-0.535187411929042,-0.458943791989255,-0.765717873394781,-0.252372341081401,17
"71","EG","F","Ground","GR12",2017,"7/4/17",14,3,"GR-M-9","V","V","HB",1,3,"4/8/17",11.1901,0.61,119,"H","H","H","","","","","","","","","","","","",1,NA,194.9230242,"",0,3,0,3,0,1,0,"143",27,5,-0.606685244584742,-0.535187411929042,-0.418525013366074,-0.49429632181478,-0.252372341081401,22
"72","EG","F","Ground","SFI",2017,"5/5/17",7,30,"SF-A-7","V","V","HB",1,3,"4/8/17",12.5232,0.789,91,"H","H","H","","","","","","","","","","","","",1,NA,299.0266297,"",0,3,0,3,0,1,0,"730",38,21,-0.169861566038479,-0.454609786877493,-0.458943791989255,-0.236988958136263,-0.252372341081401,17
"73","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-17","V","V","HB",1,3,"7/9/17",NA,0.852,122,"H","H","H","","","","","","","","","","","","",1,NA,NA,"",0,3,0,3,0,1,0,"618",28,4,-0.633986724493883,-0.527862173287992,-0.402357501916801,-0.160168752152821,-0.252372341081401,24
"74","EG","F","Ground","SFI",2017,"4/5/17",8,19,"SF-A-5","V","V","HB",1,3,"25/7/17",12.1228,0.855,82,"H","H","H","","","","","","","","","","","","",1,NA,288.7159108,"",0,3,0,3,0,1,0,"819",47,35,0.212359152689501,-0.388682639108044,-0.499362570612436,-0.156653810045377,-0.252372341081401,12
"75","EG","F","Ground","S1S",2017,"11/5/17",5,4,"S1S-J-75","V","V","HB",1,3,"3/8/17",12.3579,0.86,84,"H","H","H","","","","","","","","","","","","",1,NA,243.7755197,"",0,3,0,3,0,1,0,"54",45,30,0.0758517531437938,-0.403333116390144,-0.475111303438528,-0.150822889734584,-0.252372341081401,15
"76","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-18","V","V","HB",1,3,"10/8/17",12.7447,0.99,94,"H","H","H","","","","","","","","","","","","",1,NA,269.587591,"",0,3,0,3,0,1,0,"618",44,16,-0.306368965584186,-0.410658355031194,-0.370022479018256,-0.0100503358535015,-0.252372341081401,28
"77","EG","F","Ground","S1S",2017,"12/5/17",4,20,"S1S-J-84","V","V","HB",1,3,"3/8/17",13.6768,1.2,83,"H","H","H","","","","","","","","","","","","",1,NA,246.1228924,"",0,3,0,3,0,1,0,"420",20,10,-0.470177845039035,-0.586464082416391,-0.515530082061709,0.182321556793955,-0.252372341081401,10
"78","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-J-54","V","V","HB",1,3,"4/8/17",14.7198,1.356,88,"H","H","H","","","","","","","","","","","","",1,NA,278.7234117,"",0,3,0,3,0,1,0,"618",28,25,-0.0606556464019133,-0.527862173287992,-0.572116372134163,0.304539189518204,-0.252372341081401,3
