"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","VISIT1","VISIT2","VISIT3","VISIT4","VISIT5","VISIT6","VISIT7","VISIT8","VISIT9","VISIT10","VISIT11","VISIT12","VISIT13","VISIT14","VISIT15","VISIT16","VISIT17","VISIT18","VISIT19","VISIT20","VISIT21","VISIT22","VISIT23","VISIT24","VISIT25","VISIT26","VISIT27","VISIT28","VISIT29","Total.visits","TOTAL.TIME","stingless_bee","honey_bee","sumvisits","p_stingless_bee","p_honey_bee","duration","V1D","cent_d","cent_v1","cent_sd"
"1","24I_",NA,NA,2017,"46_","2_",704,14.03,17.05,1.95,46,2,"24I_46_2_704","V","HB","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","",5,93,0,5,5,0,1,93,67,-0.0647179749679627,1.91754585543871,-0.811821648256783
"2","24I_",NA,NA,2017,"46_","2_",705,18.05,17.24,3.32,81,1,"24I_46_2_705","V","HB","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,53,0,4,4,0,1,53,8,-0.677835632559187,-0.510082872308459,-0.508339289429997
"3","24I_",NA,NA,2017,"46_","2_",706,19.65,18.14,3.39,92,2,"24I_46_2_706","V","HB","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","",3,50,0,3,3,0,1,50,8,-0.723819456878529,-0.510082872308459,-0.556257556613174
"4","24I_",NA,NA,2017,"46_","4_",707,15.86,17.95,2.84,53,1,"24I_46_4_707","V","HB","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","",3,77,0,3,3,0,1,77,72,-0.309965038004453,2.12327710355288,-1.14724951853902
"5","24I_",NA,NA,2017,"46_","4_",708,24.36,20.48,4.38,126,3,"24I_46_4_708","V","HB","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","",5,78,0,5,5,0,1,78,4,-0.294637096564672,-0.674667870799792,-0.0451293733259548
"6","24I_",NA,NA,2017,"46_","4_",710,24.57,21.87,5.06,137,3,"24I_46_4_710","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,21,0,2,2,0,1,21,10,-1.16832975863217,-0.427790373062792,-1.05141298417267
"7","24I_",NA,NA,2017,"46_","4_",711,16.89,17.45,2.66,67,2,"24I_46_4_711","V","Mixed","H","H","H","H","H","S","S","","","","","","","","","","","","","","","","","","","","","","",7,95,2,5,7,0.285714285714286,0.714285714285714,95,23,-0.0340620920884015,0.107110872034043,-0.077074884781406
"8","24I_",NA,NA,2017,"46_","4_",712,12.7,16.54,2.93,46,1,"24I_46_4_712","V","SB","S","S","S","S","","","","","","","","","","","","","","","","","","","","","","","","","",4,78,4,0,4,1,0,78,25,-0.294637096564672,0.189403371279709,-0.380557243608192
"9","24I_",NA,NA,2017,"46_","17_",719,17.19,18.9,3.11,82,2,"24I_46_17_719","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,118,0,6,6,0,1,118,24,0.318480561026553,0.148257121656876,0.274325741228557
"10","24I_",NA,NA,2017,"46_","17_",720,15.79,19.62,2.42,63,2,"24I_46_17_720","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,53,0,2,2,0,1,53,32,-0.677835632559187,0.477427118639543,-0.891685426895411
"11","24I_",NA,NA,2017,"46_","17_",721,19.72,17.37,2.08,31,1,"24I_46_17_721","V","HB","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,52,0,4,4,0,1,52,15,-0.693163573998968,-0.222059124948625,-0.636121335251802
"12","24I_",NA,NA,2017,"46_","17_",723,16.32,19.86,3.04,64,1,"24I_46_17_723","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,94,0,6,6,0,1,94,8,-0.0493900335281821,-0.510082872308459,0.146543695406752
"13","24I_",NA,NA,2017,"46_","27_",728,17.24,15.44,2.21,69,2,"24I_46_27_728","V","Mixed","S","S","H","S","H","S","","","","","","","","","","","","","","","","","","","","","","","",6,349,4,2,6,0.666666666666667,0.333333333333333,349,90,3.85923503361587,2.86390959676388,2.90983043630328
"14","24I_",NA,NA,2017,"46_","27_",730,17.46,14.56,1.96,52,2,"24I_46_27_730","V","HB","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","",5,153,0,5,5,0,1,153,87,0.854958511418874,2.74047084789538,-0.17291141914776
"15","24I_",NA,NA,2017,"46_","27_",731,13.27,13.86,1.29,56,1,"24I_46_27_731","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,143,0,6,6,0,1,143,107,0.701679097021068,3.56339584035205,-0.652094090979527
"16","24I_",NA,NA,2017,"46_","27_",732,16.35,16.02,2.34,97,3,"24I_46_27_732","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,71,0,2,2,0,1,71,67,-0.401932686643136,1.91754585543871,-1.16322227426675
"17","24I_",NA,NA,2017,"46_","27_",733,16.78,16.17,2.25,67,2,"24I_46_27_733","V","Mixed","S","S","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,123,2,2,4,0.5,0.5,123,2,0.395120268225456,-0.756960370045459,0.705590145877148
"18","24I_",NA,NA,2017,"6_","1_",734,23.22,20.64,3.62,107,2,"24I_6_1_734","V","HB","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,26,0,4,4,0,1,26,12,-1.09169005143326,-0.345497873817125,-1.00349471698949
"19","24I_",NA,NA,2017,"6_","1_",735,15.14,16.6,1.49,13,1,"24I_6_1_735","V","SB","S","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,6,1,0,1,1,0,6,6,-1.39824888022888,-0.592375371554126,-1.22711329717765
"20","24I_",NA,NA,2017,"6_","1_",736,21.92,19.92,3.08,112,2,"24I_6_1_736","V","Mixed","S","S","H","H","H","H","S","S","S","S","H","H","S","","","","","","","","","","","","","","","","",13,113,7,6,13,0.538461538461538,0.461538461538462,113,3,0.24184085382765,-0.715814120422626,0.529889832872167
"21","24I_",NA,NA,2017,"6_","1_",737,20.76,19.98,3.4,98,3,"24I_6_1_737","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,10,0,2,2,0,1,10,6,-1.33693711446975,-0.592375371554126,-1.16322227426675
"22","24I_",NA,NA,2017,"6_","1_",738,7.61,14.6,0.75,13,1,"24I_6_1_738","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,56,0,6,6,0,1,56,3,-0.631851808239845,-0.715814120422626,-0.380557243608192
"23","24I_",NA,NA,2017,"6_","1_",739,19.01,18.13,2.56,76,2,"24I_6_1_739","V","HB","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","",5,42,0,5,5,0,1,42,3,-0.846442988396774,-0.715814120422626,-0.60417582379635
"24","24I_",NA,NA,2017,"6_","12_",748,5.49,11.97,0.29,6,1,"24I_6_12_748","V","Mixed","H","S","H","S","","","","","","","","","","","","","","","","","","","","","","","","","",4,41,2,2,4,0.5,0.5,41,3,-0.861770929836555,-0.715814120422626,-0.620148579524076
"25","24I_",NA,NA,2017,"6_","12_",749,10.53,17.72,1.2,19,1,"24I_6_12_749","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,54,0,2,2,0,1,54,44,-0.662507691119407,0.971182114113544,-1.06738573990039
"26","24I_",NA,NA,2017,"6_","26_",750,15.32,18.45,1.83,49,2,"24I_6_26_750","V","SB","S","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,15,1,0,1,1,0,15,15,-1.26029740727085,-0.222059124948625,-1.22711329717765
"27","24I_",NA,NA,2017,"6_","26_",751,18.93,17.49,2.31,81,2,"24I_6_26_751","V","SB","S","S","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2,0,2,1,0,12,7,-1.30628123159019,-0.551229121931292,-1.14724951853902
"28","24I_",NA,NA,2017,"6_","26_",752,21.89,19.62,3.46,112,3,"24I_6_26_752","V","Mixed","S","S","H","S","S","S","S","","","","","","","","","","","","","","","","","","","","","","",7,75,6,1,7,0.857142857142857,0.142857142857143,75,19,-0.340620920884014,-0.0574741264572911,-0.332638976425015
"29","24I_",NA,NA,2017,"6_","26_",753,21.9,19.83,3.52,99,3,"24I_6_26_753","V","SB","S","S","S","","","","","","","","","","","","","","","","","","","","","","","","","","",3,34,3,0,3,1,0,34,22,-0.969066519915019,0.0659646224112092,-1.03544022844494
"30","24I_",NA,NA,2017,"6_","26_",755,19.09,18.4,2.77,92,1,"24I_6_26_755","V","HB","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","",3,66,0,3,3,0,1,66,12,-0.478572393842039,-0.345497873817125,-0.364584487880467
"31","24I_",NA,NA,2017,"46_","24_",758,14.91,16.76,1.82,54,1,"24I_46_24_758","V","Mixed","S","S","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","",5,108,2,3,5,0.4,0.6,108,24,0.165201146628747,0.148257121656876,0.114598183951301
"32","24I_",NA,NA,2017,"46_","24_",759,14.45,13.79,1.5,42,1,"24I_46_24_759","V","Mixed","S","S","S","S","H","","","","","","","","","","","","","","","","","","","","","","","","",5,43,4,1,5,0.8,0.2,43,24,-0.831115046956993,0.148257121656876,-0.923630938350862
"33","24I_",NA,NA,2017,"46_","24_",760,16.27,17.22,2.45,59,2,"24I_46_24_760","V","Mixed","H","S","H","H","S","H","","","","","","","","","","","","","","","","","","","","","","","",6,60,2,4,6,0.333333333333333,0.666666666666667,60,10,-0.570540042480723,-0.427790373062792,-0.428475510791369
"34","24I_",NA,NA,2017,"46_","30_",763,17.26,16.99,2.85,96,2,"24I_46_30_763","V","Mixed","H","H","H","H","S","S","S","","","","","","","","","","","","","","","","","","","","","","",7,221,3,4,7,0.428571428571429,0.571428571428571,221,12,1.89725852932396,-0.345497873817125,2.111192649917
"35","24I_",NA,NA,2017,"46_","30_",764,7.5,11.42,0.67,25,1,"24I_46_30_764","V","HB","H","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,4,0,1,1,0,1,4,4,-1.42890476310844,-0.674667870799792,-1.22711329717765
"36","24I_",NA,NA,2017,"46_","37_",765,17.56,15.96,2.38,71,2,"24I_46_37_765","V","HB","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","",3,73,0,3,3,0,1,73,63,-0.371276803763575,1.75296085694738,-1.06738573990039
"37","24I_",NA,NA,2017,"46_","37_",766,13.78,15.99,1.5,42,1,"24I_46_37_766","V","Mixed","S","S","H","","","","","","","","","","","","","","","","","","","","","","","","","","",3,54,2,1,3,0.666666666666667,0.333333333333333,54,15,-0.662507691119407,-0.222059124948625,-0.60417582379635
"38","24I_",NA,NA,2017,"46_","37_",767,14.69,13.69,1.76,65,2,"24I_46_37_767","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,0,2,2,0,1,12,8,-1.30628123159019,-0.510082872308459,-1.16322227426675
"39","24I_",NA,NA,2017,"46_","37_",768,17.98,16.21,2.36,56,2,"24I_46_37_768","V","HB","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,223,0,7,7,0,1,223,86,1.92791441220352,2.69932459827255,0.961154237520757
"40","KD5D_",18,1,2018,"1_","15_",782,25.44,22.67,5.81,123,3,"KD5D_1_15_782","V","Mixed","S","S","S","S","H","H","S","S","H","H","H","H","H","S","","","","","","","","","","","","","","","",14,206,7,7,14,0.5,0.5,206,24,1.66733940772725,0.148257121656876,1.67992824526841
"41","KD5D_",18,1,2018,"1_","15_",783,21.4,22.83,4.74,83,2,"KD5D_1_15_783","V","Mixed","H","S","S","H","S","S","S","S","S","H","H","H","","","","","","","","","","","","","","","","","",12,262,7,5,12,0.583333333333333,0.416666666666667,262,79,2.52570412835496,2.41130085091271,1.69590100099613
"42","KD5D_",18,1,2018,"1_","15_",784,24.73,22.01,5.53,105,3,"KD5D_1_15_784","V","Mixed","H","H","H","H","H","H","S","H","H","","","","","","","","","","","","","","","","","","","","",9,212,1,8,9,0.111111111111111,0.888888888888889,212,117,1.75930705636593,3.97485833658038,0.290298496956283
"43","KD5D_",18,1,2018,"1_","17_",785,20.68,20.17,3.82,87,2,"KD5D_1_17_785","V","Mixed","H","H","S","H","H","H","S","H","H","","","","","","","","","","","","","","","","","","","","",9,126,2,7,9,0.222222222222222,0.777777777777778,126,70,0.441104092544798,2.04098460430721,-0.332638976425015
"44","KD5D_",18,1,2018,"1_","17_",786,21.77,19.59,3.97,91,3,"KD5D_1_17_786","V","Mixed","H","H","H","S","H","S","H","H","S","S","H","H","","","","","","","","","","","","","","","","","",12,213,4,8,12,0.333333333333333,0.666666666666667,213,12,1.77463499780571,-0.345497873817125,1.9834106040952
"45","KD5D_",18,1,2018,"1_","17_",787,21.21,19.74,3.88,95,3,"KD5D_1_17_787","V","Mixed","H","H","H","H","S","S","S","H","S","H","","","","","","","","","","","","","","","","","","","",10,129,4,6,10,0.4,0.6,129,21,0.487087916864139,0.0248183727883758,0.497944321416715
"46","KD6D_",18,1,2018,"30_","9_",788,22.94,20.42,4.36,99,2,"KD6D_30_9_788","V","HB","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,184,0,7,7,0,1,184,16,1.33012469605207,-0.180912875325791,1.45630966508025
"47","KD6D_",18,1,2018,"30_","9_",789,18.64,17.36,3.12,90,2,"KD6D_30_9_789","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,8,0,2,2,0,1,8,4,-1.36759299734931,-0.674667870799792,-1.16322227426675
"49","KD6D_",18,1,2018,"30_","9_",792,21.27,20.17,4.09,107,3,"KD6D_30_9_792","V","HB","H","H","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","",10,147,0,10,10,0,1,147,18,0.76299086278019,-0.0986203760801245,0.833372191698953
"50","KD6D_",18,1,2018,"23_","5_",793,21.23,18.53,3.14,71,1,"KD6D_23_5_793","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,199,0,6,6,0,1,199,119,1.56004381764878,4.05715083582605,0.0507071610403987
"53","KD8_",18,1,2018,"1_","11_",798,19.85,18.91,3.11,109,2,"KD8_1_11_798","V","Mixed","H","H","H","H","H","H","H","H","H","S","H","S","H","S","S","H","S","","","","","","","","","","","","",17,160,5,12,17,0.294117647058824,0.705882352941177,160,16,0.962254101497338,-0.180912875325791,1.07296352761484
"55","KD8_",18,1,2018,"1_","11_",801,20.84,20.09,3.44,79,3,"KD8_1_11_801","V","HB","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","",5,130,0,5,5,0,1,130,3,0.50241585830392,-0.715814120422626,0.801426680243501
"56","KD8_",18,1,2018,"1_","11_",802,22.84,21.27,4.03,95,3,"KD8_1_11_802","V","Mixed","S","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,76,1,6,7,0.142857142857143,0.857142857142857,76,3,-0.325292979444233,-0.715814120422626,-0.0611021290536804
"57","KD8_",18,1,2018,"5_","14_",803,20.28,18.7,2.9,113,2,"KD8_5_14_803","V","HB","H","H","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","",10,70,0,10,10,0,1,70,4,-0.417260628082917,-0.674667870799792,-0.17291141914776
"58","KD8_",18,1,2018,"5_","14_",804,20.4,20.63,3.24,104,2,"KD8_5_14_804","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,86,0,6,6,0,1,86,34,-0.172013565046427,0.55971961788521,-0.396529999335918
"59","KD6C_",19,1,2018,"1_","2_",805,24.09,22.07,4.51,122,3,"KD6C_1_2_805","V","Mixed","S","H","S","S","S","S","S","S","H","S","S","S","S","H","H","S","H","","","","","","","","","","","","",17,200,12,5,17,0.705882352941177,0.294117647058824,200,14,1.57537175908856,-0.263205374571458,1.74381926817931
"60","KD6C_",19,1,2018,"1_","2_",806,20.35,19.74,3.43,104,3,"KD6C_1_2_806","V","Mixed","H","H","H","S","H","H","H","S","S","H","S","H","S","","","","","","","","","","","","","","","","",13,121,5,8,13,0.384615384615385,0.615384615384615,121,24,0.364464385345894,0.148257121656876,0.322244008411734
"61","KD6C_",19,1,2018,"1_","2_",807,23.58,20.91,4.6,122,3,"KD6C_1_2_807","V","Mixed","H","H","H","H","H","S","H","H","S","","","","","","","","","","","","","","","","","","","","",9,53,2,7,9,0.222222222222222,0.777777777777778,53,8,-0.677835632559187,-0.510082872308459,-0.508339289429997
"62","KD6C_",19,1,2018,"1_","2_",808,21.02,18.84,3.29,117,2,"KD6C_1_2_808","V","Mixed","H","H","S","S","S","H","H","H","H","","","","","","","","","","","","","","","","","","","","",9,70,3,6,9,0.333333333333333,0.666666666666667,70,11,-0.417260628082917,-0.386644123439958,-0.284720709241839
"63","KD6C_",19,1,2018,"1_","3_",809,18.98,19.6,2.78,41,1,"KD6C_1_3_809","V","Mixed","S","S","H","S","S","S","H","S","S","S","H","S","S","","","","","","","","","","","","","","","","",13,270,10,3,13,0.769230769230769,0.230769230769231,270,17,2.64832765987321,-0.139766625702958,2.81399390193693
"64","KD6C_",19,1,2018,"1_","3_",810,19.93,19.26,3.62,95,2,"KD6C_1_3_810","V","Mixed","H","H","H","H","H","S","","","","","","","","","","","","","","","","","","","","","","","",6,92,1,5,6,0.166666666666667,0.833333333333333,92,29,-0.0800459164077433,0.353988369771043,-0.220829686330936
"65","KD6C_",19,1,2018,"1_","3_",811,22.38,19.24,3.9,115,2,"KD6C_1_3_811","V","Mixed","H","H","H","H","S","S","","","","","","","","","","","","","","","","","","","","","","","",6,80,2,4,6,0.333333333333333,0.666666666666667,80,10,-0.263981213685111,-0.427790373062792,-0.109020396236857
"66","KD6C_",19,1,2018,"1_","3_",812,23.23,20.74,4.72,124,3,"KD6C_1_3_812","V","Mixed","H","H","H","H","H","H","H","S","H","H","S","S","H","","","","","","","","","","","","","","","","",13,124,3,10,13,0.230769230769231,0.769230769230769,124,30,0.410448209665236,0.395134619393877,0.274325741228557
"67","KD6C_",19,1,2018,"1_","5_",813,24.47,21.44,4.31,97,2,"KD6C_1_5_813","V","HB","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,88,0,4,4,0,1,88,21,-0.141357682166866,0.0248183727883758,-0.156938663420034
"68","KD6C_",19,1,2018,"1_","5_",814,24.79,20.38,4.6,117,2,"KD6C_1_5_814","V","HB","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","",8,101,0,8,8,0,1,101,24,0.0579055565502822,0.148257121656876,0.00278889385722198
"69","KD8_",19,1,2018,"5_","1_",815,19.01,17.53,2.67,48,1,"KD8_5_1_815","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,126,0,6,6,0,1,126,27,0.441104092544798,0.271695870525376,0.354189519867185
"70","KD8_",19,1,2018,"5_","1_",816,18.32,17.89,3.37,75,2,"KD8_5_1_816","V","Mixed","S","S","S","H","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","",12,136,3,9,12,0.25,0.75,136,13,0.594383506942604,-0.304351624194292,0.737535657332599
"71","KD6C_",19,1,2018,"3_","6_",819,20.16,18.96,3.15,110,3,"KD6C_3_6_819","V","Mixed","H","H","H","H","S","","","","","","","","","","","","","","","","","","","","","","","","",5,60,1,4,5,0.2,0.8,60,11,-0.570540042480723,-0.386644123439958,-0.444448266519095
"72","KD6C_",19,1,2018,"3_","6_",822,16.6,14.44,1.57,75,1,"KD6C_3_6_822","V","Mixed","H","H","H","H","H","H","S","S","S","H","","","","","","","","","","","","","","","","","","","",10,121,3,7,10,0.3,0.7,121,3,0.364464385345894,-0.715814120422626,0.657671878693971
"73","KD6D_",19,1,2018,"30_","12_",823,11.29,17.09,1.04,20,1,"KD6D_30_12_823","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,96,0,2,2,0,1,96,57,-0.0187341506486208,1.50608335921038,-0.60417582379635
"74","KD6D_",19,1,2018,"30_","12_",824,18.55,17.62,2.82,70,2,"KD6D_30_12_824","V","HB","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,100,0,7,7,0,1,100,43,0.0425776151105016,0.930035864490711,-0.31666622069729
"75","KD6D_",19,1,2018,"30_","12_",825,19.52,17.98,3.37,97,3,"KD6D_30_12_825","V","HB","H","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","",9,224,0,9,9,0,1,224,58,1.9432423536433,1.54722960883321,1.4243641536248
"76","KD6D_",19,1,2018,"30_","12_",826,18.89,17.68,2.58,55,2,"KD6D_30_12_826","V","HB","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","",8,188,0,8,8,0,1,188,4,1.3914364618112,-0.674667870799792,1.71187375672386
"77","KD6C_",22,1,2018,"1_","10_",830,20.6,20.09,3.61,77,1,"KD6C_1_10_830","V","Mixed","S","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,92,1,6,7,0.142857142857143,0.857142857142857,92,8,-0.0800459164077433,-0.510082872308459,0.114598183951301
"79","KD6C_",22,1,2018,"1_","10_",833,21.43,20.05,3.68,127,3,"KD6C_1_10_833","V","Mixed","H","S","H","H","S","H","S","H","H","S","","","","","","","","","","","","","","","","","","","",10,106,4,6,10,0.4,0.6,106,31,0.134545263749185,0.43628086901671,-0.0291566175982292
"80","KD6C_",22,1,2018,"3_","8_",834,15,15.1,1.55,36,1,"KD6C_3_8_834","V","Mixed","S","H","S","","","","","","","","","","","","","","","","","","","","","","","","","","",3,7,2,1,3,0.666666666666667,0.333333333333333,7,3,-1.3829209387891,-0.715814120422626,-1.16322227426675
"81","KD6C_",22,1,2018,"3_","8_",835,16.94,15.86,1.96,70,2,"KD6C_3_8_835","V","Mixed","H","H","H","S","S","H","S","S","S","H","S","S","","","","","","","","","","","","","","","","","",12,118,7,5,12,0.583333333333333,0.416666666666667,118,39,0.318480561026553,0.765450865999377,0.0347344053126732
"82","KD6C_",22,1,2018,"3_","8_",836,16.76,15.99,2.11,86,3,"KD6C_3_8_836","V","Mixed","H","H","H","H","H","S","H","S","S","S","H","","","","","","","","","","","","","","","","","","",11,182,4,7,11,0.363636363636364,0.636363636363636,182,40,1.29946881317251,0.806597115622211,1.04101801615939
"83","KD6C_",22,1,2018,"3_","8_",837,17.77,16.91,2.94,92,3,"KD6C_3_8_837","V","Mixed","H","S","S","","","","","","","","","","","","","","","","","","","","","","","","","","",3,37,2,1,3,0.666666666666667,0.333333333333333,37,2,-0.923082695595677,-0.756960370045459,-0.668066846707253
"84","KD6C_",22,1,2018,"3_","8_",838,16.44,16.12,2.13,78,2,"KD6C_3_8_838","V","Mixed","S","S","H","H","S","S","H","S","S","S","H","S","S","v","H","","","","","","","","","","","","","","",15,80,9,5,14,0.642857142857143,0.357142857142857,78,3,-0.294637096564672,-0.715814120422626,-0.0291566175982292
"85","KD6C_",22,1,2018,"5_","2_",839,20.47,18.22,3.57,96,3,"KD6C_5_2_839","V","Mixed","S","S","S","H","S","H","S","H","S","S","S","S","H","H","H","S","1","H","S","H","","","","","","","","","",20,147,11,8,19,0.578947368421053,0.421052631578947,137,10,0.609711448382384,-0.427790373062792,0.801426680243501
"86","KD6C_",22,1,2018,"5_","2_",840,19.83,18.76,3.42,92,3,"KD6C_5_2_840","V","Mixed","S","S","H","S","S","H","S","S","S","H","S","H","S","H","S","","","","","","","","","","","","","","",15,146,10,5,15,0.666666666666667,0.333333333333333,146,10,0.74766292134041,-0.427790373062792,0.945181481793032
"87","KD6C_",22,1,2018,"5_","2_",841,19.15,17.01,2.69,76,2,"KD6C_5_2_841","V","Mixed","S","S","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,107,2,2,4,0.5,0.5,107,27,0.149873205188966,0.271695870525376,0.0507071610403987
"88","KD6C_",22,1,2018,"5_","2_",842,19.27,17.91,3.27,92,3,"KD6C_5_2_842","V","SB","S","S","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,41,2,0,2,1,0,41,36,-0.861770929836555,0.642012117130877,-1.14724951853902
